scenario,scenarioLabel,throttlingProfile,throttlingLabel,requiresAuth,runIndex,timestamp,navigationDurationMs,browserFcpMs,browserLcpMs,ttfbMs,domContentLoadedMs,domInteractiveMs,loadEventMs,redirectTimeMs,dnsLookupMs,tcpConnectMs,tlsNegotiationMs,transferSizeBytes,decodedBodySizeBytes,encodedBodySizeBytes,jsHeapUsedSizeMB,jsHeapTotalSizeMB,scriptDurationMs,taskDurationMs,layoutDurationMs,totalPayloadKB,totalPayloadBytes,totalRequests,htmlDocumentKB,htmlDocumentRequests,jsPayloadKB,jsRequests,apiPayloadKB,apiRequests,cssPayloadKB,cssRequests,staticAssetKB,staticAssetRequests,lh_performanceScore,lh_fcpMs,lh_lcpMs,lh_ttiMs,lh_tbtMs,lh_cls,lh_speedIndex,lh_serverResponseTime
baseline,Legacy (Baseline 1),cable,Cable (Referenz),true,24,2026-04-01T05:17:28.369Z,2572,820.0999999940395,,229.2000000178814,1106.5,815.1999999880791,1111.5,0,33.099999994039536,88,47.19999998807907,14454,46646,14154,11.62,18.55,81.4,261.42,20.2,829.46,849362,96,18.47,2,566.6,76,105.83,7,61.18,4,77.37,7,100,284.742,284.742,334.09,0,0,281,195.763
baseline,Legacy (Baseline 1),cable,Cable (Referenz),true,25,2026-04-01T05:17:33.002Z,2489,777.5,,222.69999998807907,1100.800000011921,772.0999999940395,1117.0999999940395,0,35.599999994039536,93.90000000596046,49.19999998807907,14452,46642,14152,11.64,18.8,80.42,263.25,20.55,829.51,849416,96,18.51,2,566.62,76,105.83,7,61.18,4,77.37,7,100,326.647,446.555,467.706,0,0.00782967032967033,336,233.242
baseline,Legacy (Baseline 1),cable,Cable (Referenz),true,26,2026-04-01T05:17:37.671Z,2524,812.1999999880791,,163.90000000596046,1101.8999999761581,807.5999999940395,1118.3999999761581,0,46.19999998807907,103.30000001192093,56.10000002384186,14450,46642,14150,11.58,18.3,81.81,260.67,19.8,829.41,849312,96,18.44,2,566.6,76,105.81,7,61.17,4,77.38,7,100,279.667,279.667,422.487,0,0,271,189.455
baseline,Legacy (Baseline 1),cable,Cable (Referenz),true,27,2026-04-01T05:17:42.421Z,2614,855.3000000119209,,199,1126.199999988079,849.6999999880791,1131.300000011921,0,35.19999998807907,100.40000000596046,55.79999998211861,14449,46642,14149,11.6,18.55,80.5,263.84,20.33,829.51,849417,96,18.49,2,566.61,76,105.82,7,61.21,4,77.38,7,100,304.692,304.692,343.949,0,0,300,214.5
baseline,Legacy (Baseline 1),cable,Cable (Referenz),true,28,2026-04-01T05:17:47.329Z,2764,1049.5999999940395,,307.10000002384186,1346.5999999940395,1044.800000011921,1362.9000000059605,0,60.70000001788139,88.39999997615814,47,14442,46634,14142,11.6,18.55,86.48,274.6,20.95,829.26,849161,96,18.41,2,566.56,76,105.8,7,61.13,4,77.37,7,100,387.024,387.024,425.878,0,0,381,291.973
baseline,Legacy (Baseline 1),cable,Cable (Referenz),true,29,2026-04-01T05:17:53.529Z,4065,747.8999999761581,,180.40000000596046,989.5,742.6999999880791,994.0999999940395,0,55.19999998807907,86.90000000596046,47.099999994039536,14449,46642,14149,10.03,19.3,92.19,276.22,20.23,838.03,858139,100,18.43,2,566.57,76,106.07,8,61.17,4,77.38,7,100,275.932,275.932,313.684,0,0,268,185.15099999999998
baseline,Legacy (Baseline 1),cable,Cable (Referenz),true,30,2026-04-01T05:17:58.287Z,2614,948.6999999880791,,273.09999999403954,1186.7999999821186,943.0999999940395,1202.4000000059605,0,38.69999998807907,117,59.5,14449,46644,14149,11.58,18.8,82.32,266.12,21.05,829.52,849426,96,18.49,2,566.65,76,105.82,7,61.17,4,77.38,7,100,252.152,252.152,292.98,0,0,244,168.701
baseline,Legacy (Baseline 1),cable,Cable (Referenz),true,31,2026-04-01T05:18:04.534Z,4117,917.9000000059605,,235.80000001192093,1255.5999999940395,912.8000000119209,1272.5,0,34.900000005960464,95.09999999403954,48.29999998211861,14451,46642,14151,10.08,19.05,106.55,312.83,22.05,838.05,858165,100,18.47,2,566.54,76,106.05,8,61.21,4,77.38,7,99,722.885,722.885,762.59,0,0,716,622.804
baseline,Legacy (Baseline 1),cable,Cable (Referenz),true,32,2026-04-01T05:18:09.223Z,2542,813.5999999940395,,237.40000000596046,1097.7000000178814,807.8000000119209,1102.7000000178814,0,38.70000001788139,85.09999999403954,42.900000005960464,14451,46644,14151,11.55,18.55,81.43,256.99,20.12,829.4,849310,96,18.43,2,566.58,76,105.83,7,61.17,4,77.39,7,100,329.685,329.685,369.447,0,0,323,233.47400000000002
baseline,Legacy (Baseline 1),cable,Cable (Referenz),true,33,2026-04-01T05:18:14.933Z,3560,1861.4000000059605,,252.10000002384186,2114.300000011921,1856.5999999940395,2119.0999999940395,0,1072.0999999940395,109.5,56.89999997615814,14449,46644,14149,11.6,18.8,73.64,245.36,20.31,829.35,849254,96,18.43,2,566.55,76,105.82,7,61.17,4,77.38,7,100,284.945,284.945,325.164,0,0,278,194.36800000000002
