scenario,scenarioLabel,throttlingProfile,throttlingLabel,runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),34,2026-04-01T06:09:16.016Z,857.21,100,17.41,575.58,105.81,72.41,86.01,1175,38.13,96,2,94,38.13,17.25,1.79,19.1,0,0.0,88.69999998807907,167.5,13231,2.1,95.6
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),35,2026-04-01T06:09:23.923Z,865.86,104,17.39,575.54,106.05,72.44,86.02,1176,38.17,96,2,94,38.17,17.29,1.79,19.09,0,0.0,86.2999999821186,168.69999998807907,13233,2.1,95.6
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),36,2026-04-01T06:09:32.083Z,865.81,104,17.35,575.55,106.05,72.45,86.01,1178,38.14,96,2,94,38.14,17.26,1.79,19.09,0,0.0,95.2999999821186,170.19999998807907,13231,2.1,95.6
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),37,2026-04-01T06:09:38.411Z,857.14,100,17.35,575.44,105.79,72.48,86.07,1182,38.15,96,2,94,38.15,17.27,1.79,19.1,0,0.0,90.40000000596046,173.5,13233,2.1,95.5
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),38,2026-04-01T06:09:44.896Z,857.11,100,17.4,575.55,105.8,72.4,85.96,1341,42.34,97,2,95,42.34,17.26,1.79,19.09,0,0.0,251.69999998807907,334.0,13231,2.1,95.1
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),39,2026-04-01T06:09:52.705Z,865.8,104,17.34,575.47,106.06,72.44,86.08,1171,38.22,96,2,94,38.22,17.33,1.79,19.1,0,0.0,80.0,162.19999998807907,13231,2.1,95.6
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),40,2026-04-01T06:10:00.662Z,865.99,104,17.44,575.61,106.07,72.43,86.02,1212,38.16,96,2,94,38.16,17.27,1.79,19.1,0,0.0,92.2999999821186,176.69999998807907,13233,2.1,95.6
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),41,2026-04-01T06:10:07.106Z,857.05,100,17.36,575.53,105.8,72.4,85.96,1245,38.84,96,2,94,38.84,17.28,2.47,19.09,0,0.0,67.10000002384186,236.59999999403956,13229,2.1,95.5
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),42,2026-04-01T06:10:14.279Z,857.18,100,17.37,575.53,105.81,72.44,86.02,1098,42.44,97,2,95,42.44,17.35,1.79,19.11,0,0.0,86.09999999403954,233.80000001192093,13235,2.1,95.0
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),43,2026-04-01T06:10:21.895Z,865.8,104,17.34,575.51,106.05,72.47,86.02,1234,38.22,96,2,94,38.22,17.34,1.79,19.1,0,0.0,142.80000001192093,226.8999999761581,13233,2.1,95.6
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),44,2026-04-01T06:10:28.215Z,857.11,100,17.44,575.42,105.8,72.44,86.0,1181,42.35,97,2,95,42.35,17.26,1.79,19.1,0,0.0,91.90000000596046,175.2999999821186,13235,2.1,95.1
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),45,2026-04-01T06:10:36.196Z,865.84,104,17.35,575.49,106.06,72.46,86.07,1201,38.16,96,2,94,38.16,17.29,1.79,19.09,0,0.0,106.5,192.30000001192093,13233,2.1,95.6
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),46,2026-04-01T06:10:44.034Z,865.79,104,17.34,575.51,106.06,72.45,86.02,1189,38.21,96,2,94,38.21,17.33,1.79,19.1,0,0.0,78.60000002384186,164.0,13231,2.1,95.6
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),47,2026-04-01T06:10:50.420Z,857.3,100,17.41,575.54,105.81,72.46,86.08,1214,38.16,96,2,94,38.16,17.27,1.79,19.1,0,0.0,122.2000000178814,206.4000000059605,13233,2.1,95.5
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),48,2026-04-01T06:10:56.913Z,857.14,100,17.35,575.57,105.8,72.4,86.02,1298,40.67,96,2,94,40.67,17.35,1.79,17.34,0,0.0,81.40000000596046,288.40000000596046,13235,2.1,95.3
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),49,2026-04-01T06:11:03.336Z,857.25,100,17.41,575.56,105.82,72.43,86.03,1253,38.49,97,2,95,38.49,17.35,1.79,19.1,0,0.25,153.39999997615814,237.59999999403956,13233,2.1,95.5
baseline2,Legacy (Baseline 2),cable,Cable (Referenz),50,2026-04-01T06:11:09.647Z,857.08,100,17.33,575.52,105.81,72.45,85.97,1189,38.86,96,2,94,38.86,17.28,2.47,19.1,0,0.0,76.7999999821186,179.7999999821186,13231,2.1,95.5
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),1,2026-04-01T06:35:37.097Z,1264.79,135,14.98,755.38,236.75,25.88,231.79,3196,163.43,128,6,122,163.43,0.4,0.0,16.83,0,146.2,0.0,58.19999998807907,0,4.7,87.1
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),2,2026-04-01T06:35:47.802Z,1395.4,145,15.0,755.4,236.87,25.89,362.24,2157,68.76,126,6,120,68.76,0.47,0.0,17.05,0,51.23,0.0999999940395355,65.09999999403954,0,4.8,95.1
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),3,2026-04-01T06:35:59.912Z,1156.86,133,14.99,755.4,236.54,25.9,124.02,3211,156.86,130,6,124,156.86,0.47,0.0,17.19,0,139.21,0.0999999940395355,65.5,0,4.6,86.4
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),4,2026-04-01T06:36:11.309Z,1428.17,140,14.98,755.49,237.27,25.9,394.54,3358,54.6,123,6,117,54.6,0.47,0.0,16.67,0,37.46,0.1000000238418579,65.5,0,4.9,96.2
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),5,2026-04-01T06:36:21.728Z,1132.72,128,14.96,755.38,236.96,25.89,99.53,2667,159.48,131,6,125,159.48,0.47,0.0,17.24,0,141.77,0.0,67.2999999821186,0,4.6,85.9
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),6,2026-04-01T06:36:33.289Z,1125.8,126,14.98,755.52,236.18,25.88,93.24,3478,99.65,124,6,118,99.65,0.4,0.68,16.56,0,82.01,0.0,178.0,0,4.8,91.1
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),7,2026-04-01T06:36:46.267Z,1088.35,123,15.02,755.52,230.72,25.9,61.19,4187,12.07,119,6,113,12.07,0.47,0.68,10.92,0,0.0,0.0,104.0,0,5.0,98.9
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),8,2026-04-01T06:36:58.625Z,1360.11,136,14.96,755.36,237.07,25.89,326.84,2805,162.47,123,6,117,162.47,0.4,0.68,17.28,0,144.1,0.0,98.0,0,4.9,88.1
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),9,2026-04-01T06:37:09.931Z,1123.58,129,14.93,755.45,237.12,25.9,90.17,3285,122.0,125,6,119,122.0,0.4,0.0,16.78,0,104.82,0.0999999940395355,68.0,0,4.8,89.1
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),10,2026-04-01T06:37:20.514Z,1313.46,143,14.97,755.59,237.19,25.9,279.81,2381,292.59,127,6,121,292.59,0.4,0.0,17.19,0,275.0,0.1000000238418579,58.29999998211861,0,4.7,77.7
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),11,2026-04-01T06:37:31.339Z,1108.55,127,14.96,755.5,236.78,25.9,75.41,3103,117.01,128,6,122,117.01,0.47,0.0,16.96,0,99.58,0.0,65.59999999403954,0,4.7,89.4
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),12,2026-04-01T06:37:42.012Z,1242.23,137,14.95,755.5,236.71,25.91,209.17,2197,154.01,126,6,120,154.01,0.47,0.0,17.47,0,136.07,0.0999999940395355,67.5,0,4.8,87.6
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),13,2026-04-01T06:37:52.331Z,1211.4,132,15.03,755.42,237.04,25.89,178.02,2229,42.48,124,6,118,42.48,0.4,0.0,17.01,0,25.07,0.0999999940395355,68.0,0,4.8,96.5
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),14,2026-04-01T06:38:03.091Z,1359.36,139,14.94,755.5,237.26,25.9,325.76,2183,234.05,127,6,121,234.05,0.4,0.69,16.59,0,216.38,0.0,92.0,0,4.7,82.8
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),15,2026-04-01T06:38:13.928Z,1229.12,140,14.96,755.46,237.08,25.88,195.73,2263,94.74,126,6,120,94.74,0.4,2.07,16.56,0,75.71,0.199999988079071,99.19999998807909,0,4.8,92.3
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),16,2026-04-01T06:38:23.736Z,1169.42,128,14.96,755.45,236.2,25.91,136.9,2176,68.74,125,6,119,68.74,0.4,1.37,16.87,0,50.09,0.0,96.0,0,4.8,94.1
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),17,2026-04-01T06:38:33.081Z,1368.7,137,14.95,755.37,237.08,25.88,335.43,1508,95.43,126,6,120,95.43,0.47,0.0,16.72,0,78.24,0.0999999940395355,66.0,0,4.8,93.0
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),18,2026-04-01T06:38:43.411Z,1181.11,132,14.93,755.55,237.0,25.9,147.73,2239,187.33,131,6,125,187.33,0.4,2.75,17.19,0,166.99,0.0,90.5,0,4.6,84.1
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),19,2026-04-01T06:38:53.266Z,1122.75,127,14.97,755.35,236.84,25.88,89.71,2153,69.88,125,6,119,69.88,0.47,0.0,16.87,0,52.54,0.0999999940395355,65.60000002384186,0,4.8,93.8
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),20,2026-04-01T06:39:03.637Z,1233.66,132,15.04,755.41,236.35,25.9,200.97,2417,44.87,124,6,118,44.87,0.47,2.07,16.78,0,25.55,0.0,95.40000000596046,0,4.8,96.4
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),21,2026-04-01T06:39:14.918Z,1182.26,132,14.94,755.32,236.54,25.91,149.56,2791,186.13,128,6,122,186.13,0.4,1.37,17.07,0,167.3,0.1000000238418579,100.39999997615814,0,4.7,84.3
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),22,2026-04-01T06:39:25.648Z,1357.6,135,14.96,755.28,236.3,25.9,325.16,2170,157.07,123,6,117,157.07,0.4,1.38,16.78,0,138.52,0.0,67.2999999821186,0,4.9,88.4
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),23,2026-04-01T06:39:35.211Z,1127.29,127,14.96,755.41,236.76,25.9,94.26,1507,116.19,125,6,119,116.19,0.4,0.68,16.8,0,98.31,0.0999999940395355,94.2000000178814,0,4.8,89.7
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),24,2026-04-01T06:39:44.757Z,1261.63,129,14.98,755.49,237.04,25.88,228.23,1401,43.58,120,6,114,43.58,0.4,0.68,17.01,0,25.49,0.1000000238418579,93.69999998807909,0,5.0,96.5
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),25,2026-04-01T06:39:54.871Z,1131.7,128,14.99,755.26,236.24,25.89,99.32,2393,136.17,130,6,124,136.17,0.47,0.68,17.32,0,117.7,0.0999999940395355,91.90000000596046,0,4.6,88.0
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),26,2026-04-01T06:40:06.920Z,1245.17,132,15.02,755.58,236.4,25.9,212.28,4020,56.39,125,6,119,56.39,0.4,0.68,16.62,0,38.7,0.0999999940395355,65.09999999403954,0,4.8,95.5
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),27,2026-04-01T06:40:18.442Z,1148.76,131,14.94,755.46,236.32,25.89,116.15,2285,97.9,126,6,120,97.9,0.4,0.0,16.65,0,80.85,0.0,67.40000000596046,0,4.8,91.5
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),28,2026-04-01T06:40:29.243Z,1145.17,129,14.96,755.4,236.44,25.89,112.48,2376,108.9,127,6,121,108.9,0.4,1.37,16.83,0,90.31,0.0999999940395355,64.2999999821186,0,4.7,90.5
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),29,2026-04-01T06:40:39.969Z,1162.62,128,14.96,755.33,236.53,25.88,129.93,3150,135.86,126,6,120,135.86,0.47,0.0,16.66,0,118.73,0.0,66.5,0,4.8,88.3
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),30,2026-04-01T06:40:51.279Z,1187.27,134,15.02,755.4,236.5,25.89,154.47,2362,122.7,130,6,124,122.7,0.47,1.38,16.71,0,104.14,0.0,66.59999999403954,0,4.6,89.7
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),31,2026-04-01T06:41:02.765Z,1322.52,133,14.97,755.4,237.06,25.89,289.2,2141,66.57,121,6,115,66.57,0.4,2.07,16.81,0,47.3,0.0999999940395355,58.099999994039536,0,5.0,95.0
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),32,2026-04-01T06:41:14.109Z,1143.74,128,14.97,755.38,236.62,25.91,110.86,3212,258.79,127,6,121,258.79,0.4,1.38,16.4,0,240.61,0.0999999940395355,66.89999997615814,0,4.7,77.4
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),33,2026-04-01T06:41:25.664Z,1108.2,127,14.98,755.36,236.5,25.88,75.48,2922,112.4,124,6,118,112.4,0.4,1.38,16.41,0,94.22,0.0,63.0,0,4.8,89.9
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),34,2026-04-01T06:41:38.154Z,1233.02,131,15.09,755.28,236.41,25.88,200.36,3382,89.66,130,6,124,89.66,0.4,0.0,16.91,0,72.35,0.1000000238418579,67.7000000178814,0,4.6,92.7
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),35,2026-04-01T06:41:51.772Z,1088.28,123,15.05,755.43,230.72,25.89,61.18,4760,236.0,136,6,130,236.0,0.4,0.68,16.8,0,218.12,0.0999999940395355,67.2000000178814,0,4.4,78.3
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),36,2026-04-01T06:42:03.316Z,1238.42,130,14.99,755.4,236.78,25.89,205.37,2444,177.74,125,6,119,177.74,0.4,2.06,16.34,0,158.94,0.0,93.90000000596046,0,4.8,85.6
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),37,2026-04-01T06:42:13.988Z,1111.29,128,14.96,755.28,237.06,25.89,78.1,2162,25.11,121,6,115,25.11,0.4,0.68,16.84,0,7.19,0.0,49.69999998807907,0,5.0,97.7
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),38,2026-04-01T06:42:23.562Z,1105.85,128,15.0,755.25,236.47,25.89,73.24,1589,103.55,126,6,120,103.55,0.47,0.68,16.89,0,85.51,0.0,88.5,0,4.8,90.6
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),39,2026-04-01T06:42:34.951Z,1236.36,134,15.04,755.3,236.83,25.9,203.29,3031,181.07,129,6,123,181.07,0.4,0.68,17.04,0,162.96,0.0999999940395355,69.59999999403954,0,4.7,85.4
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),40,2026-04-01T06:42:48.717Z,1207.65,129,15.03,755.33,237.08,25.88,174.34,4368,11.57,120,6,114,11.57,0.4,0.0,11.17,0,0.0,0.1000000238418579,65.59999999403954,0,5.0,99.0
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),41,2026-04-01T06:43:02.178Z,1188.04,133,15.05,755.37,236.93,25.9,154.79,3921,11.32,119,6,113,11.32,0.4,0.0,10.92,0,0.0,0.0,64.80000001192093,0,5.0,99.0
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),42,2026-04-01T06:43:13.901Z,1209.25,132,14.99,755.48,236.94,25.88,175.96,2419,77.34,125,6,119,77.34,0.4,2.06,16.86,0,58.01,0.1000000238418579,124.5,0,4.8,93.6
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),43,2026-04-01T06:43:24.721Z,1159.93,128,14.95,755.44,236.39,25.91,127.24,2436,124.05,124,6,118,124.05,0.4,2.06,16.61,0,104.99,0.0,104.90000000596046,0,4.8,89.3
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),44,2026-04-01T06:43:35.767Z,1139.0,129,14.96,755.42,236.63,25.9,106.09,2973,106.18,127,6,121,106.18,0.47,0.69,16.78,0,88.24,0.0,96.5,0,4.7,90.7
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),45,2026-04-01T06:43:45.303Z,1164.11,129,14.99,755.4,236.88,25.91,130.92,1507,51.78,122,6,116,51.78,0.4,3.42,16.7,0,31.26,0.0999999940395355,119.7999999821186,0,4.9,95.6
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),46,2026-04-01T06:43:57.609Z,1283.51,138,14.96,754.31,236.53,25.91,251.81,3521,75.42,126,6,120,75.42,0.4,2.05,17.03,0,55.95,0.0,352.0,0,4.8,94.1
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),47,2026-04-01T06:44:07.668Z,1131.33,129,15.0,755.31,236.89,25.88,98.25,1409,48.18,122,6,116,48.18,0.4,0.68,16.76,0,30.34,0.0999999940395355,106.90000000596046,0,4.9,95.7
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),48,2026-04-01T06:44:17.678Z,1172.69,130,14.97,755.28,236.7,25.89,139.85,2148,98.23,125,6,119,98.23,0.4,0.0,16.95,0,80.89,0.0999999940395355,63.900000005960464,0,4.8,91.6
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),49,2026-04-01T06:44:28.181Z,1323.16,132,14.99,755.31,236.87,25.89,290.11,2378,110.83,126,6,120,110.83,0.4,0.0,16.5,0,93.94,0.0,66.30000001192093,0,4.8,91.6
prototype,Kestrel-Kit (Prototyp),4g,4G (Mobil),50,2026-04-01T06:44:38.345Z,1338.12,137,14.95,755.36,236.52,25.91,305.38,2157,345.92,125,6,119,345.92,0.47,0.0,16.88,0,328.57,0.0,65.90000000596046,0,4.8,74.1
baseline,Legacy (Baseline 1),4g,4G (Mobil),1,2026-04-01T07:07:58.349Z,838.03,100,18.51,566.52,106.06,61.13,77.38,1250,39.36,94,2,92,39.36,18.48,1.79,19.09,0,0.0,160.5,242.4000000059605,14452,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),2,2026-04-01T07:08:06.828Z,837.96,100,18.42,566.49,106.07,61.18,77.39,1371,39.86,94,2,92,39.86,18.42,2.33,19.11,0,0.0,185.59999999403956,362.09999999403954,14452,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),3,2026-04-01T07:08:15.247Z,837.99,100,18.45,566.51,106.07,61.18,77.38,1319,39.31,94,2,92,39.31,18.43,1.79,19.1,0,0.0,228.3999999761581,311.09999999403954,14445,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),4,2026-04-01T07:08:23.676Z,838.02,100,18.48,566.54,106.07,61.13,77.38,1306,40.05,94,2,92,40.05,18.47,2.48,19.1,0,0.0,182.5,298.0,14446,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),5,2026-04-01T07:08:32.235Z,838.28,101,18.43,566.48,106.32,61.25,77.38,1257,39.35,94,2,92,39.35,18.45,1.79,19.11,0,0.0,167.0,248.7000000178814,14449,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),6,2026-04-01T07:08:40.608Z,837.97,100,18.43,566.54,106.07,61.13,77.38,1297,39.39,94,2,92,39.39,18.5,1.79,19.1,0,0.0,205.60000002384183,288.19999998807907,14454,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),7,2026-04-01T07:08:49.476Z,838.3,101,18.51,566.51,106.32,61.18,77.38,1298,39.34,94,2,92,39.34,18.44,1.79,19.1,0,0.0,211.69999998807907,292.09999999403954,14452,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),8,2026-04-01T07:09:07.252Z,842.05,100,18.49,566.53,105.81,61.23,77.39,1500,41.4,94,2,92,41.4,18.46,3.84,19.1,0,0.0,387.3000000119209,492.59999999403954,14455,2.1,95.1
baseline,Legacy (Baseline 1),4g,4G (Mobil),9,2026-04-01T07:09:15.543Z,838.0,100,18.4,566.55,106.06,61.18,77.38,1327,39.32,94,2,92,39.32,18.42,1.79,19.1,0,0.0,236.30000001192093,318.7000000178814,14455,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),10,2026-04-01T07:09:23.802Z,837.96,100,18.44,566.52,106.08,61.13,77.38,1253,39.38,94,2,92,39.38,18.48,1.79,19.11,0,0.0,166.19999998807907,245.9000000059605,14456,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),11,2026-04-01T07:09:32.107Z,837.98,100,18.43,566.49,106.07,61.19,77.39,1239,39.4,94,2,92,39.4,18.5,1.79,19.1,0,0.0,147.19999998807907,230.09999999403956,14455,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),12,2026-04-01T07:09:40.335Z,837.97,100,18.5,566.46,106.08,61.13,77.38,1281,39.31,94,2,92,39.31,18.42,1.79,19.1,0,0.0,190.9000000059605,274.19999998807907,14450,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),13,2026-04-01T07:09:58.009Z,841.93,100,18.44,566.46,105.81,61.24,77.38,1307,39.35,94,2,92,39.35,18.46,1.79,19.1,0,0.0,214.5,298.89999997615814,14454,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),14,2026-04-01T07:10:16.655Z,842.28,102,18.42,566.52,106.09,61.23,77.39,1280,39.34,94,2,92,39.34,18.44,1.79,19.11,0,0.0,189.2999999821186,273.09999999403954,14450,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),15,2026-04-01T07:10:34.382Z,842.04,100,18.44,566.54,105.82,61.23,77.39,1280,39.34,94,2,92,39.34,18.44,1.79,19.11,0,0.0,187.3999999761581,271.39999997615814,14451,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),16,2026-04-01T07:10:51.981Z,841.86,100,18.42,566.48,105.82,61.14,77.39,1358,40.7,94,2,92,40.7,18.44,3.16,19.1,0,0.0,198.09999999403956,351.69999998807907,14458,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),17,2026-04-01T07:11:09.628Z,842.0,100,18.45,566.54,105.82,61.19,77.38,1301,40.02,94,2,92,40.02,18.44,2.48,19.11,0,0.0,185.30000001192093,293.7000000178814,14452,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),18,2026-04-01T07:11:27.383Z,841.91,100,18.45,566.47,105.81,61.18,77.39,1415,40.69,94,2,92,40.69,18.42,3.16,19.11,0,0.0,273.90000000596046,405.8000000119209,14456,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),19,2026-04-01T07:11:45.068Z,841.94,100,18.44,566.53,105.82,61.14,77.39,1298,40.05,94,2,92,40.05,18.46,2.48,19.11,0,0.0,182.5,290.90000000596046,14450,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),20,2026-04-01T07:12:02.786Z,841.93,100,18.48,566.47,105.81,61.18,77.38,1381,39.34,94,2,92,39.34,18.44,1.79,19.11,0,0.0,290.0,374.0,14452,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),21,2026-04-01T07:12:20.703Z,841.87,100,18.42,566.5,105.81,61.13,77.38,1494,40.57,94,2,92,40.57,18.44,3.02,19.11,0,0.0,362.09999999403954,486.3999999761581,14454,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),22,2026-04-01T07:12:28.939Z,837.98,100,18.49,566.49,106.07,61.14,77.38,1380,41.24,94,2,92,41.24,18.43,3.7,19.11,0,0.0,172.10000002384186,372.7000000178814,14451,2.1,95.1
baseline,Legacy (Baseline 1),4g,4G (Mobil),23,2026-04-01T07:12:37.657Z,837.9,100,18.49,566.44,106.07,61.1,77.39,1610,40.57,94,2,92,40.57,18.45,3.02,19.11,0,0.0,523.3999999761581,644.7000000178814,14453,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),24,2026-04-01T07:12:45.942Z,837.97,100,18.41,566.56,106.07,61.14,77.39,1291,39.34,94,2,92,39.34,18.44,1.79,19.1,0,0.0,200.30000001192093,283.30000001192093,14452,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),25,2026-04-01T07:12:54.338Z,837.96,100,18.45,566.52,106.06,61.13,77.38,1332,39.35,94,2,92,39.35,18.46,1.79,19.1,0,0.0,244.0,325.40000000596046,14454,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),26,2026-04-01T07:13:02.591Z,837.99,100,18.43,566.55,106.07,61.13,77.39,1292,39.9,94,2,92,39.9,18.46,2.33,19.1,0,0.0,171.7999999821186,284.40000000596046,14456,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),27,2026-04-01T07:13:10.990Z,837.9,100,18.44,566.46,106.06,61.14,77.39,1300,40.62,94,2,92,40.62,18.5,3.02,19.1,0,0.0,175.90000000596046,291.7000000178814,14451,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),28,2026-04-01T07:13:19.346Z,837.97,100,18.45,566.56,106.07,61.1,77.38,1338,39.31,94,2,92,39.31,18.41,1.79,19.11,0,0.0,248.5,331.19999998807907,14458,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),29,2026-04-01T07:13:27.755Z,838.02,100,18.44,566.58,106.07,61.13,77.39,1317,40.08,94,2,92,40.08,18.5,2.48,19.11,0,0.0,197.59999999403956,308.80000001192093,14456,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),30,2026-04-01T07:13:36.135Z,837.96,100,18.45,566.52,106.07,61.13,77.38,1443,39.33,94,2,92,39.33,18.43,1.79,19.1,0,0.0,189.59999999403956,270.59999999403954,14452,2.1,95.3
baseline,Legacy (Baseline 1),4g,4G (Mobil),31,2026-04-01T07:13:44.471Z,838.0,100,18.49,566.5,106.07,61.13,77.38,1357,39.85,94,2,92,39.85,18.42,2.33,19.1,0,0.0,151.90000000596046,348.19999998807907,14449,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),32,2026-04-01T07:13:52.866Z,837.92,100,18.43,566.48,106.08,61.13,77.39,1364,40.02,94,2,92,40.02,18.43,2.48,19.11,0,0.0,157.0,354.2999999821186,14451,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),33,2026-04-01T07:14:01.448Z,837.87,100,18.41,566.51,106.06,61.09,77.39,1311,39.99,94,2,92,39.99,18.41,2.48,19.1,0,0.0,196.2000000178814,304.40000000596046,14454,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),34,2026-04-01T07:14:09.699Z,837.99,100,18.42,566.52,106.07,61.18,77.39,1308,40.08,94,2,92,40.08,18.5,2.48,19.11,0,0.0,190.30000001192093,299.5,14453,2.1,95.2
baseline,Legacy (Baseline 1),4g,4G (Mobil),35,2026-04-01T07:14:18.142Z,838.03,100,18.53,566.5,106.08,61.13,77.39,1297,40.04,94,2,92,40.04,18.46,2.48,19.11,0,0.0,177.69999998807907,289.39999997615814,14452,2.1,95.2
