runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
30,2026-04-01T11:10:22.003Z,862.76,108,17.36,574.64,106.82,72.4,78.93,1506,39.03,100,4,96,39.03,17.36,2.26,19.42,0,0,176.80000001192093,261.59999999403954,13229,4,95.5
31,2026-04-01T11:10:49.771Z,862.66,108,17.34,574.63,106.82,72.32,78.93,1489,39.76,100,4,96,39.76,17.26,3.08,19.42,0,0,241.19999998807907,358.2999999821186,13229,4,95.4
32,2026-04-01T11:11:17.452Z,862.68,108,17.32,574.61,106.83,72.37,78.93,1320,39.2,100,4,96,39.2,17.25,2.54,19.41,0,0,117.5,239.7000000178814,13227,4,95.5
33,2026-04-01T11:11:45.354Z,862.7,108,17.35,574.6,106.83,72.37,78.93,1359,39.26,100,4,96,39.26,17.3,2.55,19.41,0,0,145.7000000178814,260,13227,4,95.4
34,2026-04-01T11:12:13.141Z,862.7,108,17.36,574.62,106.82,72.36,78.93,1424,39.23,100,4,96,39.23,17.28,2.54,19.41,0,0,104.90000000596046,223.09999999403954,13227,4,95.5
35,2026-04-01T11:12:41.239Z,862.75,108,17.33,574.65,106.83,72.41,78.93,1453,40.65,100,4,96,40.65,17.32,3.91,19.42,0,0,90.10000002384186,443.7000000178814,13229,4,95.3
36,2026-04-01T11:13:08.839Z,862.62,108,17.32,574.62,106.82,72.32,78.93,1338,41.31,100,4,96,41.31,17.29,4.6,19.42,0,0,81.40000000596046,213.69999998807907,13227,4,95.2
37,2026-04-01T11:13:36.800Z,862.69,108,17.33,574.67,106.82,72.32,78.93,1361,39.76,100,4,96,39.76,17.26,3.08,19.42,0,0,106.2000000178814,296.09999999403954,13229,4,95.4
38,2026-04-01T11:14:04.703Z,862.68,108,17.33,574.63,106.82,72.35,78.93,1370,39.99,100,4,96,39.99,17.34,3.23,19.42,0,0,161.90000000596046,279.5,13229,4,95.4
39,2026-04-01T11:14:32.492Z,862.78,108,17.41,574.63,106.83,72.37,78.93,1326,39.22,100,4,96,39.22,17.28,2.54,19.41,0,0,129.80000001192093,253.60000002384186,13225,4,95.5
