runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
1,2026-04-01T05:06:41.484Z,1136.42,130,14.96,755.38,236.67,25.81,103.6,2820,114.46,125,6,119,114.46,0.4,0,16.8,0,97.26,0.10000002384185791,65.80000001192093,0,4.8,89.9
2,2026-04-01T05:06:51.468Z,1171.78,132,15.04,755.56,236.82,25.88,138.47,3133,450.64,144,6,138,450.64,0.47,0,17.17,0,433,0,65.5,0,4.2,61.5
3,2026-04-01T05:07:01.858Z,1348.78,151,14.98,755.45,237.44,25.9,315.02,2153,19.91,121,6,115,19.91,0.4,0,16.62,0,2.89,0.10000002384185791,65.90000000596046,0,5,98.5
4,2026-04-01T05:07:12.160Z,1104.97,126,14.96,755.33,235.94,25.88,72.86,2683,172.55,128,6,122,172.55,0.4,2.07,16.92,0,153.17,0,153.09999999403954,0,4.7,84.4
5,2026-04-01T05:07:22.447Z,1150.36,131,14.98,755.44,236.72,25.81,117.41,2892,173.13,131,6,125,173.13,0.4,0.7,16.95,0,155.09,0.09999999403953552,93.09999999403954,0,4.6,84.9
6,2026-04-01T05:07:32.668Z,1261.44,131,15.03,755.43,236.89,25.8,228.29,3694,51.51,125,6,119,51.51,0.47,0,17.1,0,33.95,0,57.79999998211861,0,4.8,95.9
7,2026-04-01T05:07:42.355Z,1420.64,135,15.04,755.46,236.62,25.89,387.62,3179,49.87,127,6,121,49.87,0.4,0,17.04,0,32.42,0.09999999403953552,65.30000001192093,0,4.7,96.5
8,2026-04-01T05:07:51.825Z,1130.24,126,15.01,755.41,237.29,25.88,96.64,2160,59.32,126,6,120,59.32,0.4,0,16.77,0,42.15,0.09999999403953552,66.09999999403954,0,4.8,94.8
9,2026-04-01T05:08:00.582Z,1168.07,133,14.97,755.58,236.43,25.89,135.2,1507,76.71,125,6,119,76.71,0.47,0,16.95,0,59.3,0,66,0,4.8,93.4
10,2026-04-01T05:08:10.262Z,1254.51,130,14.97,755.35,236.38,25.89,221.92,3399,66.65,123,6,117,66.65,0.47,0,16.75,0,49.43,0.09999999403953552,66.5,0,4.9,94.7
11,2026-04-01T05:08:20.907Z,1333.33,136,14.99,755.47,236.88,25.88,300.11,3229,18.37,121,6,115,18.37,0.4,0,16.38,0,1.59,0.09999999403953552,64.59999999403954,0,5,98.6
12,2026-04-01T05:08:31.518Z,1457.69,155,14.93,755.47,237.46,25.84,423.99,3195,65.17,125,6,119,65.17,0.47,0,17.01,0,47.69,0.10000002384185791,65.7999999821186,0,4.8,95.5
13,2026-04-01T05:08:40.127Z,1145.11,133,15.01,755.46,236.26,25.81,112.58,1367,89.55,126,6,120,89.55,0.4,0,16.18,0,72.97,0,63.900000005960464,0,4.8,92.2
14,2026-04-01T05:08:50.157Z,1134.39,128,14.98,755.51,236.85,25.89,101.17,2253,30.68,123,6,117,30.68,0.4,0.68,17.05,0,12.54,0.09999999403953552,94.5,0,4.9,97.3
15,2026-04-01T05:08:59.695Z,1207.02,138,14.96,755.61,237.07,25.85,173.54,2419,334.53,130,6,124,334.53,0.4,0,16.49,0,317.64,0,67,0,4.6,72.3
16,2026-04-01T05:09:09.077Z,1249.24,133,15.04,755.39,236.32,25.81,216.69,2606,170.91,126,6,120,170.91,0.4,0,16.57,0,153.95,0.09999999403953552,66.59999999403954,0,4.8,86.3
17,2026-04-01T05:09:19.679Z,1184.72,134,14.93,755.43,237.27,25.88,151.21,2807,151.19,128,6,122,151.19,0.4,0,16.98,0,133.81,0.10000002384185791,65.40000000596046,0,4.7,87.2
