scenario,scenarioLabel,throttlingProfile,throttlingLabel,requiresAuth,runIndex,timestamp,navigationDurationMs,browserFcpMs,browserLcpMs,ttfbMs,domContentLoadedMs,domInteractiveMs,loadEventMs,redirectTimeMs,dnsLookupMs,tcpConnectMs,tlsNegotiationMs,transferSizeBytes,decodedBodySizeBytes,encodedBodySizeBytes,jsHeapUsedSizeMB,jsHeapTotalSizeMB,scriptDurationMs,taskDurationMs,layoutDurationMs,totalPayloadKB,totalPayloadBytes,totalRequests,htmlDocumentKB,htmlDocumentRequests,jsPayloadKB,jsRequests,apiPayloadKB,apiRequests,cssPayloadKB,cssRequests,staticAssetKB,staticAssetRequests,lh_performanceScore,lh_fcpMs,lh_lcpMs,lh_ttiMs,lh_tbtMs,lh_cls,lh_speedIndex,lh_serverResponseTime
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,11,2026-04-01T04:45:01.617Z,5310,1504.2000000178814,,645.0999999940395,1640.300000011921,1263.6000000238419,1643.4000000059605,0,32.10000002384186,85,42.60000002384186,11003,31646,10703,13.49,30.8,112.42,355.18,20.08,1169.65,1197723,135,15,2,755.68,100,236.84,13,25.88,4,136.25,15,100,99.899,99.899,104.614,0,0,43,0.141
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,12,2026-04-01T04:45:08.522Z,4762,1092.2000000178814,,251.90000000596046,1106.5,836.4000000059605,1132.2000000178814,0,58,93,47.19999998807907,11003,31646,10703,13.31,30.8,114.23,345.28,19.84,1120.36,1147246,130,14.97,2,755.6,100,237.12,13,25.89,4,86.77,10,100,307.582,307.582,311.322,0,0,70,0.15900000000000003
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,13,2026-04-01T04:45:15.657Z,5004,1221.1000000238419,,398.59999999403954,1269.5,1015.3000000119209,1272.5,0,35.20000001788139,113.5,57.30000001192093,11003,31646,10703,13.29,29.8,107.27,337.85,19.67,1134.69,1161920,129,14.98,2,755.6,100,236.58,13,25.89,4,101.64,9,100,180.069,180.069,182.689,0,0,50,0.14300000000000002
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,14,2026-04-01T04:45:23.137Z,5350,1235.2999999821186,,457.30000001192093,1250.9000000059605,1000.2999999821186,1262,0,42.900000005960464,87.09999999403954,47.099999994039536,11003,31646,10703,13.48,29.3,108.01,361.86,19.83,1501,1537024,148,14.96,2,755.57,100,236.59,13,25.89,4,467.99,28,100,145.33,145.33,599.5399999694824,0.3609999694824637,0,49,0.16700000000000004
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,15,2026-04-01T04:45:29.059Z,3781,1068.800000011921,,256.5,1103.5,829.7000000178814,1106.7000000178814,0,34,91.7000000178814,47.20000001788139,11003,31646,10703,13.11,30.05,116.15,349.42,18.23,1176.72,1204966,131,14.93,2,755.74,100,236.69,13,25.89,4,143.47,11,100,204.455,204.455,207.628,0,0,58,0.15900000000000003
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,16,2026-04-01T04:45:36.299Z,5099,1427,,568.7999999821186,1473.800000011921,1209.7000000178814,1476.9000000059605,0,39.900000005960464,183.7999999821186,128.89999997615814,11003,31646,10703,16.24,29.55,110.31,357.43,19.32,1129,1156099,126,14.97,2,755.58,100,236.44,13,25.9,4,96.12,6,100,135.117,135.117,135.117,0,0,46,0.15000000000000002
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,17,2026-04-01T04:45:43.301Z,4866,1288.9000000059605,,365.39999997615814,1402.5999999940395,1023.5999999940395,1454.699999988079,0,35.69999998807907,116.5,59.599999994039536,11003,31646,10703,15.01,32.8,111.74,367,23.83,1407.15,1440923,130,14.93,2,755.77,100,236.22,13,25.88,4,374.35,10,100,182.579,182.579,182.579,0,0,56,0.15000000000000002
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,18,2026-04-01T04:45:50.408Z,4968,1256.199999988079,,303.2000000178814,1327.699999988079,989.8000000119209,1330.5999999940395,0,32.80000001192093,159,49.900000005960464,11003,31646,10703,13.35,30.05,117.69,365.2,21.41,1281.19,1311935,133,14.97,2,755.67,100,236.38,13,25.88,4,248.29,13,100,100.73,100.73,104.583,0,0,44,0.135
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,19,2026-04-01T04:45:56.811Z,4261,1058.4000000059605,,303.90000000596046,1099.300000011921,839.3000000119209,1101.800000011921,0,32.19999998807907,101.40000000596046,58.69999998807907,11003,31646,10703,13.23,30.05,113.61,342.63,17.8,1108.99,1135610,128,14.96,2,755.67,100,236.26,13,25.88,4,76.22,8,100,100.878,100.878,104.136,0,0,49,0.15900000000000003
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,20,2026-04-01T04:46:03.214Z,4254,1439.5,,334.80000001192093,1451.199999988079,1131.9000000059605,1480.4000000059605,0,51.5,205.19999998807907,149.2999999821186,11003,31646,10703,13.21,30.8,111.63,363.71,20.46,1119.58,1146448,129,14.97,2,755.61,100,236.69,13,25.91,4,86.4,9,100,99.929,99.929,102.709,0,0,43,0.15300000000000002
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,21,2026-04-01T04:46:10.647Z,5282,1368.5,,425.40000000596046,1443.5999999940395,1122.0999999940395,1446.9000000059605,0,138.59999999403954,100.19999998807907,52.19999998807907,11003,31646,10703,16.34,30.05,121.34,356.21,20.34,1147.47,1175012,131,14.97,2,755.75,100,236.44,13,25.91,4,114.4,11,100,100.024,100.024,901.0959999694825,8.217999969482435,0,45,0.15600000000000003
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,22,2026-04-01T04:46:19.272Z,6475,1822.699999988079,,405.60000002384186,1791.4000000059605,983.6999999880791,1848,0,76.30000001192093,89.7999999821186,47.19999998807907,11003,31646,10703,13.55,29.55,129.35,384.94,22.74,1263.81,1294141,133,14.97,2,755.66,100,236.76,13,25.88,4,230.54,13,100,97.788,97.788,102.971,0,0,40,0.15300000000000002
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,23,2026-04-01T04:46:26.169Z,4769,1073.4000000059605,,238.90000000596046,1079.6000000238419,815.4000000059605,1110.4000000059605,0,47.5,96.2999999821186,50.5,11003,31646,10703,13.36,30.3,111.22,342.27,18.86,1173.34,1201497,128,14.96,2,755.67,100,236.5,13,25.89,4,140.31,8,100,98.831,98.831,101.757,0,0,46,0.16000000000000003
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,24,2026-04-01T04:46:34.621Z,6306,1621.699999988079,,234.90000000596046,1710.5,1409.0999999940395,1713.199999988079,0,46.599999994039536,107.40000000596046,65.90000000596046,11003,31646,10703,13.47,30.55,130.15,390.2,20,1297.01,1328136,135,15.02,2,755.51,100,236.61,13,25.89,4,263.98,15,100,98.702,98.702,101.14,0,0,45,0.16600000000000004
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,25,2026-04-01T04:46:40.967Z,4204,1086.5999999940395,,205.2999999821186,1155.0999999940395,907.2000000178814,1157.800000011921,0,34.099999994039536,166.90000000596046,117.69999998807907,11003,31646,10703,13.23,29.8,113.87,353.97,19,1193.32,1221963,128,14.97,2,755.56,100,236.89,13,25.88,4,160.02,8,100,100.548,100.548,579.697,9.644000000000005,0,47,0.15800000000000003
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,26,2026-04-01T04:46:48.459Z,5346,1248.699999988079,,227.5,1261.4000000059605,964.6999999880791,1345.699999988079,0,34.19999998807907,168.90000000596046,61.099999994039536,11003,31646,10703,13.81,29.3,117.44,364.26,23.53,1234.29,1263914,129,15,2,755.67,100,236.27,13,25.89,4,201.47,9,100,96.256,96.256,102.613,0,0,47,0.15600000000000003
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,27,2026-04-01T04:46:55.158Z,4557,1125.300000011921,,194.30000001192093,1146,862.0999999940395,1166.199999988079,0,36.70000001788139,98.19999998807907,51.80000001192093,11003,31646,10703,13.21,31.05,121.5,365.51,20.76,1151.97,1179620,131,14.97,2,755.67,100,236.41,13,25.89,4,119.03,11,100,95.619,95.619,98.589,0,0,48,0.18
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,28,2026-04-01T04:47:02.085Z,4789,1259.9000000059605,,232.10000002384186,1267.300000011921,972,1327.800000011921,0,109.69999998807907,93.30000001192093,48.599999994039536,11003,31646,10703,13.23,29.8,115.37,349.89,22.19,1231.96,1261523,132,15.02,2,755.64,100,236.5,13,25.91,4,198.89,12,100,96.83,96.83,239.494,0,0,41,0.14400000000000002
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,29,2026-04-01T04:47:08.920Z,4705,1147.7999999821186,,247.30000001192093,1155.5999999940395,889.5,1190.7999999821186,0,58.60000002384186,94.19999998807907,49.400000005960464,11003,31646,10703,13.19,30.55,110.56,362.11,21.28,1124.08,1151058,127,15.02,2,755.75,100,237.02,13,25.89,4,90.4,7,100,115.531,115.531,994.9449999694824,7.240999969482459,0,47,0.14800000000000002
prototype,Kestrel-Kit (Prototyp),cable,Cable (Referenz),true,30,2026-04-01T04:47:17.449Z,6383,2218.0999999940395,,349.90000000596046,2256.5,1987.5,2259.5999999940395,0,31.700000017881393,118,60,11003,31646,10703,16.5,30.05,121.76,371.79,20.48,1302.06,1333309,139,14.94,2,755.52,100,236.99,13,25.89,4,268.72,19,100,123.373,123.373,123.373,0,0,47,0.15799999999999997
