Profil,ProfilKey,Vergleich,Metrik,Hypothese,Median Kestrel-Kit (Prototyp),Median Legacy (Baseline 1),Differenz (abs),Differenz (%),U-Statistik,p-Wert,Signifikant,Effektstärke (r),Effekt,95%-CI unten,95%-CI oben,Vorteil,Median Legacy (Baseline 2)
4G (Mobil),4g,prototype_vs_baseline,Warm-Cache Netzwerk-Requests,H1,119.5,92.0,27.5,29.9,2500.0,0.000000,Ja,-1.0,groß,27.0,28.0,Legacy (Baseline 1),
4G (Mobil),4g,prototype_vs_baseline,Gecachte Requests,H1,6.0,2.0,4.0,200.0,2500.0,0.000000,Ja,-1.0,groß,4.0,4.0,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,Cache-Hit-Rate,H1,4.8,2.1,2.7,128.6,2500.0,0.000000,Ja,-1.0,groß,2.7,2.7,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,Payload-Reduktion (Cold→Warm),H1,90.65,95.3,-4.65,-4.9,551.5,0.000001,Ja,0.559,groß,-6.05,-2.45,Legacy (Baseline 1),
4G (Mobil),4g,prototype_vs_baseline,Warm-Cache Navigationszeit,H1,2405.0,1300.5,1104.5,84.9,2484.0,0.000000,Ja,-0.987,groß,953.5,1548.04,Legacy (Baseline 1),
4G (Mobil),4g,prototype_vs_baseline,Warm-Cache TTFB,H1,0.1,186.5,-186.4,-99.9,0.0,0.000000,Ja,1.0,groß,-197.4,-178.9,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,Warm-Cache DOMContentLoaded,H2,67.45,291.4,-223.95,-76.9,41.0,0.000000,Ja,0.967,groß,-237.35,-200.45,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,Warm HTML-Dokument,H1,0.4,18.45,-18.05,-97.8,0.0,0.000000,Ja,1.0,groß,-18.06,-18.04,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,Warm JS-Payload,H2,0.68,1.79,-1.11,-62.0,278.0,0.000000,Ja,0.778,groß,-1.99,-1.11,Kestrel-Kit (Prototyp),
4G (Mobil),4g,prototype_vs_baseline,Warm API-Payload,H1,16.8,19.1,-2.3,-12.0,0.0,0.000000,Ja,1.0,groß,-2.36,-2.23,Kestrel-Kit (Prototyp),
