runIndex,resourceType,requestCount,sizeBytes,sizeKB,cachedCount
20,Document,2,18886,18.44,0
20,Script,76,580402,566.8,0
20,Stylesheet,4,62645,61.18,0
20,Font,2,45585,44.52,0
20,Image,1,1049,1.02,0
20,Other,4,32664,31.9,0
20,Fetch,8,108516,105.97,0
20,Ping,4,17232,16.83,0
20,XHR,1,425,0.42,0
20,Preflight,2,0,0,0
21,Document,2,18954,18.51,0
21,Script,76,580403,566.8,0
21,Stylesheet,4,62564,61.1,0
21,Font,2,45585,44.52,0
21,Image,1,1049,1.02,0
21,Other,4,32662,31.9,0
21,Fetch,8,108566,106.02,0
21,Ping,4,17219,16.82,0
21,XHR,1,425,0.42,0
21,Preflight,2,0,0,0
22,Document,2,18902,18.46,0
22,Script,76,580460,566.86,0
22,Stylesheet,4,62601,61.13,0
22,Font,2,45641,44.57,0
22,Image,1,1049,1.02,0
22,Other,4,32667,31.9,0
22,Fetch,8,108511,105.97,0
22,Ping,4,17215,16.81,0
22,XHR,1,425,0.42,0
22,Preflight,2,0,0,0
23,Document,2,18909,18.47,0
23,Script,76,580435,566.83,0
23,Stylesheet,4,62682,61.21,0
23,Font,2,45643,44.57,0
23,Image,1,1049,1.02,0
23,Other,4,32675,31.91,0
23,Fetch,8,108526,105.98,0
23,Ping,4,17224,16.82,0
23,XHR,1,425,0.42,0
23,Preflight,2,0,0,0
24,Document,2,18911,18.47,0
24,Script,76,580478,566.87,0
24,Stylesheet,4,62639,61.17,0
24,Font,2,45641,44.57,0
24,Image,1,1049,1.02,0
24,Other,4,32672,31.91,0
24,Fetch,8,108514,105.97,0
24,Ping,4,17213,16.81,0
24,XHR,1,425,0.42,0
24,Preflight,2,0,0,0
25,Document,2,18864,18.42,0
25,Script,76,580448,566.84,0
25,Stylesheet,4,62644,61.18,0
25,Font,2,45643,44.57,0
25,Image,1,1049,1.02,0
25,Other,4,32665,31.9,0
25,Fetch,8,108519,105.98,0
25,Ping,4,17206,16.8,0
25,XHR,1,425,0.42,0
25,Preflight,2,0,0,0
26,Document,2,18886,18.44,0
26,Script,76,580417,566.81,0
26,Stylesheet,4,62641,61.17,0
26,Font,2,45529,44.46,0
26,Image,1,1049,1.02,0
26,Other,4,32669,31.9,0
26,Fetch,8,108522,105.98,0
26,Ping,4,17230,16.83,0
26,XHR,1,425,0.42,0
26,Preflight,2,0,0,0
27,Document,2,18891,18.45,0
27,Script,76,580469,566.86,0
27,Stylesheet,4,62678,61.21,0
27,Font,2,45643,44.57,0
27,Image,1,1049,1.02,0
27,Other,4,32664,31.9,0
27,Fetch,8,108511,105.97,0
27,Ping,4,17215,16.81,0
27,XHR,1,425,0.42,0
27,Preflight,2,0,0,0
28,Document,2,18914,18.47,0
28,Script,76,580467,566.86,0
28,Stylesheet,4,62646,61.18,0
28,Font,2,45641,44.57,0
28,Image,1,1049,1.02,0
28,Other,4,32661,31.9,0
28,Fetch,8,108512,105.97,0
28,Ping,4,17230,16.83,0
28,XHR,1,425,0.42,0
28,Preflight,2,0,0,0
29,Document,2,18930,18.49,0
29,Script,76,580487,566.88,0
29,Stylesheet,4,62642,61.17,0
29,Font,2,45586,44.52,0
29,Image,1,1049,1.02,0
29,Other,4,32668,31.9,0
29,Fetch,8,108524,105.98,0
29,Ping,4,17229,16.83,0
29,XHR,1,425,0.42,0
29,Preflight,2,0,0,0
30,Document,2,18969,18.52,0
30,Script,76,580500,566.89,0
30,Stylesheet,4,62684,61.21,0
30,Font,2,45642,44.57,0
30,Image,1,1049,1.02,0
30,Other,4,32665,31.9,0
30,Fetch,8,108519,105.98,0
30,Ping,4,17228,16.82,0
30,XHR,1,425,0.42,0
30,Preflight,2,0,0,0
31,Document,2,18881,18.44,0
31,Script,76,580413,566.81,0
31,Stylesheet,4,62682,61.21,0
31,Font,2,45642,44.57,0
31,Image,1,1049,1.02,0
31,Other,4,32673,31.91,0
31,Fetch,8,108515,105.97,0
31,Ping,4,17224,16.82,0
31,XHR,1,425,0.42,0
31,Preflight,2,0,0,0
32,Document,2,18872,18.43,0
32,Script,76,580439,566.83,0
32,Stylesheet,4,62682,61.21,0
32,Font,2,45525,44.46,0
32,Image,1,1049,1.02,0
32,Other,4,32668,31.9,0
32,Fetch,8,108509,105.97,0
32,Ping,4,17216,16.81,0
32,XHR,1,425,0.42,0
32,Preflight,2,0,0,0
33,Document,2,18914,18.47,0
33,Script,76,580398,566.79,0
33,Stylesheet,4,62679,61.21,0
33,Font,2,45527,44.46,0
33,Image,1,1049,1.02,0
33,Other,4,32666,31.9,0
33,Fetch,8,108517,105.97,0
33,Ping,4,17228,16.82,0
33,XHR,1,425,0.42,0
33,Preflight,2,0,0,0
34,Document,2,18913,18.47,0
34,Script,76,580471,566.87,0
34,Stylesheet,4,62681,61.21,0
34,Font,2,45527,44.46,0
34,Image,1,1049,1.02,0
34,Other,4,32669,31.9,0
34,Fetch,8,108458,105.92,0
34,Ping,4,17232,16.83,0
34,XHR,1,425,0.42,0
34,Preflight,2,0,0,0
35,Document,2,18898,18.46,0
35,Script,76,580447,566.84,0
35,Stylesheet,4,62564,61.1,0
35,Font,2,45527,44.46,0
35,Image,1,1049,1.02,0
35,Other,4,32668,31.9,0
35,Fetch,8,108457,105.92,0
35,Ping,4,17228,16.82,0
35,XHR,1,425,0.42,0
35,Preflight,2,0,0,0
36,Document,2,18906,18.46,0
36,Script,76,580443,566.84,0
36,Stylesheet,4,62639,61.17,0
36,Font,2,45527,44.46,0
36,Image,1,1049,1.02,0
36,Other,4,32674,31.91,0
36,Fetch,8,108473,105.93,0
36,Ping,4,17227,16.82,0
36,XHR,1,425,0.42,0
36,Preflight,2,0,0,0
37,Document,2,18958,18.51,0
37,Script,76,580436,566.83,0
37,Stylesheet,4,62643,61.17,0
37,Font,2,45527,44.46,0
37,Image,1,1049,1.02,0
37,Other,4,32664,31.9,0
37,Fetch,8,108466,105.92,0
37,Ping,4,17222,16.82,0
37,XHR,1,425,0.42,0
37,Preflight,2,0,0,0
38,Document,2,18936,18.49,0
38,Script,76,580419,566.82,0
38,Stylesheet,4,62679,61.21,0
38,Font,2,45528,44.46,0
38,Image,1,1049,1.02,0
38,Other,4,32661,31.9,0
38,Fetch,8,108458,105.92,0
38,Ping,4,17235,16.83,0
38,XHR,1,425,0.42,0
38,Preflight,2,0,0,0
39,Document,2,19033,18.59,0
39,Script,76,580464,566.86,0
39,Stylesheet,4,62679,61.21,0
39,Font,2,45529,44.46,0
39,Image,1,1049,1.02,0
39,Other,4,32676,31.91,0
39,Fetch,8,108459,105.92,0
39,Ping,4,17220,16.82,0
39,XHR,1,425,0.42,0
39,Preflight,2,0,0,0
40,Document,2,18923,18.48,0
40,Script,76,580491,566.89,0
40,Stylesheet,4,62602,61.13,0
40,Font,2,45527,44.46,0
40,Image,1,1049,1.02,0
40,Other,4,32668,31.9,0
40,Fetch,8,108466,105.92,0
