runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
29,2026-04-01T07:13:27.755Z,838.02,100,18.44,566.58,106.07,61.13,77.39,1317,40.08,94,2,92,40.08,18.5,2.48,19.11,0,0,197.59999999403954,308.80000001192093,14456,2.1,95.2
30,2026-04-01T07:13:36.135Z,837.96,100,18.45,566.52,106.07,61.13,77.38,1443,39.33,94,2,92,39.33,18.43,1.79,19.1,0,0,189.59999999403954,270.59999999403954,14452,2.1,95.3
31,2026-04-01T07:13:44.471Z,838,100,18.49,566.5,106.07,61.13,77.38,1357,39.85,94,2,92,39.85,18.42,2.33,19.1,0,0,151.90000000596046,348.19999998807907,14449,2.1,95.2
32,2026-04-01T07:13:52.866Z,837.92,100,18.43,566.48,106.08,61.13,77.39,1364,40.02,94,2,92,40.02,18.43,2.48,19.11,0,0,157,354.2999999821186,14451,2.1,95.2
33,2026-04-01T07:14:01.448Z,837.87,100,18.41,566.51,106.06,61.09,77.39,1311,39.99,94,2,92,39.99,18.41,2.48,19.1,0,0,196.2000000178814,304.40000000596046,14454,2.1,95.2
34,2026-04-01T07:14:09.699Z,837.99,100,18.42,566.52,106.07,61.18,77.39,1308,40.08,94,2,92,40.08,18.5,2.48,19.11,0,0,190.30000001192093,299.5,14453,2.1,95.2
35,2026-04-01T07:14:18.142Z,838.03,100,18.53,566.5,106.08,61.13,77.39,1297,40.04,94,2,92,40.04,18.46,2.48,19.11,0,0,177.69999998807907,289.39999997615814,14452,2.1,95.2
36,2026-04-01T07:14:26.489Z,837.96,100,18.46,566.49,106.06,61.15,77.39,1278,41.4,94,2,92,41.4,18.46,3.84,19.1,0,0,158.2000000178814,270.30000001192093,14452,2.1,95.1
37,2026-04-01T07:14:34.854Z,837.98,100,18.51,566.47,106.06,61.15,77.39,1288,40.01,94,2,92,40.01,18.43,2.48,19.1,0,0,175.30000001192093,281.59999999403954,14449,2.1,95.2
38,2026-04-01T07:14:43.228Z,837.97,100,18.46,566.51,106.07,61.13,77.39,1284,39.31,94,2,92,39.31,18.42,1.79,19.1,0,0,197.5,277.59999999403954,14452,2.1,95.3
39,2026-04-01T07:14:51.799Z,837.95,100,18.46,566.49,106.06,61.13,77.39,1273,39.37,94,2,92,39.37,18.46,1.79,19.11,0,0,183,263.89999997615814,14451,2.1,95.3
40,2026-04-01T07:15:00.035Z,837.96,100,18.45,566.51,106.07,61.14,77.38,1260,39.4,94,2,92,39.4,18.5,1.79,19.11,0,0,172.80000001192093,253.40000000596046,14454,2.1,95.3
41,2026-04-01T07:15:08.564Z,837.97,100,18.42,566.49,106.07,61.18,77.39,1294,39.35,94,2,92,39.35,18.45,1.79,19.11,0,0,203.69999998807907,285.80000001192093,14455,2.1,95.3
42,2026-04-01T07:15:16.780Z,837.99,100,18.48,566.5,106.06,61.14,77.39,1266,39.37,94,2,92,39.37,18.47,1.79,19.11,0,0,179,258.7000000178814,14455,2.1,95.3
43,2026-04-01T07:15:25.018Z,837.94,100,18.45,566.54,106.07,61.09,77.39,1255,39.37,94,2,92,39.37,18.47,1.79,19.11,0,0,164.5,244.30000001192093,14450,2.1,95.3
44,2026-04-01T07:15:33.740Z,838.27,101,18.5,566.51,106.31,61.15,77.38,1335,39.35,94,2,92,39.35,18.46,1.79,19.1,0,0,250.40000000596046,328.5,14454,2.1,95.3
45,2026-04-01T07:15:41.979Z,838.15,100,18.55,566.56,106.06,61.18,77.39,1276,39.39,94,2,92,39.39,18.5,1.79,19.1,0,0,159.30000001192093,243.40000000596046,14456,2.1,95.3
46,2026-04-01T07:15:50.343Z,837.93,100,18.42,566.5,106.07,61.14,77.39,1255,39.4,94,2,92,39.4,18.51,1.79,19.1,0,0,164.7999999821186,248.09999999403954,14453,2.1,95.3
47,2026-04-01T07:15:58.768Z,837.99,100,18.46,566.52,106.06,61.14,77.39,1282,40.03,94,2,92,40.03,18.44,2.48,19.11,0,0,170.90000000596046,273.19999998807907,14456,2.1,95.2
48,2026-04-01T07:16:07.158Z,837.98,100,18.45,566.52,106.07,61.13,77.39,1328,39.32,94,2,92,39.32,18.42,1.79,19.11,0,0,241,322,14455,2.1,95.3
49,2026-04-01T07:16:15.430Z,838.08,100,18.52,566.51,106.13,61.13,77.39,1368,40.03,94,2,92,40.03,18.45,2.48,19.1,0,0,176.40000000596046,357.69999998807907,14452,2.1,95.2
50,2026-04-01T07:16:24.077Z,838.3,101,18.44,566.6,106.33,61.13,77.39,1412,40.03,94,2,92,40.03,18.45,2.48,19.11,0,0,182.69999998807907,291.09999999403954,14451,2.1,95.2
