runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
29,2026-04-01T10:02:53.852Z,843.22,102,18.47,567.21,106.39,61.09,77.44,1357,40.81,94,2,92,40.81,18.42,3.22,19.17,0,0,234.80000001192093,350.2999999821186,14475,2.1,95.2
30,2026-04-01T10:03:20.705Z,843.18,102,18.42,567.19,106.37,61.2,77.39,1366,41.42,94,2,92,41.42,18.49,3.76,19.16,0,0,235.80000001192093,357.19999998807907,14477,2.1,95.1
31,2026-04-01T10:03:47.761Z,843.24,102,18.46,567.21,106.32,61.19,77.44,1414,41.59,94,2,92,41.59,18.53,3.91,19.16,0,0,288.2999999821186,407.2999999821186,14474,2.1,95.1
32,2026-04-01T10:04:14.692Z,843.14,102,18.43,567.18,106.33,61.2,77.38,1350,42.22,94,2,92,42.22,18.46,4.59,19.17,0,0,245,341.80000001192093,14486,2.1,95
33,2026-04-01T10:04:41.868Z,843.15,102,18.47,567.2,106.33,61.14,77.38,1507,41.52,94,2,92,41.52,18.44,3.91,19.17,0,0,287.90000000596046,414.40000000596046,14480,2.1,95.1
34,2026-04-01T10:05:08.686Z,843.16,102,18.43,567.21,106.34,61.19,77.38,1308,39.61,94,2,92,39.61,18.54,1.85,19.22,0,0,217.69999998807907,300.40000000596046,14485,2.1,95.3
35,2026-04-01T10:05:36.259Z,843.26,102,18.46,567.26,106.33,61.15,77.45,1314,39.48,94,2,92,39.48,18.46,1.85,19.17,0,0,224.09999999403954,305.59999999403954,14471,2.1,95.3
36,2026-04-01T10:06:03.419Z,843.17,102,18.46,567.26,106.32,61.14,77.38,1573,39.46,94,2,92,39.46,18.45,1.85,19.16,0,0,485,567.0999999940395,14477,2.1,95.3
37,2026-04-01T10:06:32.320Z,843.34,102,18.57,567.21,106.33,61.24,77.38,3328,48.14,97,2,95,48.14,18.47,1.85,19.41,0,0,268.69999998807907,351.40000000596046,14475,2.1,94.3
38,2026-04-01T10:06:59.332Z,843.2,102,18.47,567.2,106.34,61.19,77.38,1442,39.54,94,2,92,39.54,18.53,1.85,19.16,0,0,351.09999999403954,434.5,14475,2.1,95.3
39,2026-04-01T10:07:26.377Z,843.25,102,18.51,567.24,106.32,61.19,77.38,1421,39.48,94,2,92,39.48,18.47,1.85,19.16,0,0,333.09999999403954,415.09999999403954,14474,2.1,95.3
40,2026-04-01T10:07:53.315Z,843.2,102,18.51,567.2,106.32,61.19,77.38,1411,40.25,94,2,92,40.25,18.54,2.54,19.17,0,0,295.40000000596046,403.30000001192093,14475,2.1,95.2
41,2026-04-01T10:08:20.185Z,843.09,102,18.46,567.19,106.32,61.14,77.38,1341,40.03,94,2,92,40.03,18.48,2.39,19.16,0,0,218.80000001192093,332.2000000178814,14475,2.1,95.3
42,2026-04-01T10:08:47.424Z,843.29,102,18.5,567.26,106.33,61.2,77.38,1484,44.33,94,2,92,44.33,18.52,6.65,19.17,0,0,269.19999998807907,392.2999999821186,14477,2.1,94.7
43,2026-04-01T10:09:14.563Z,843.12,102,18.48,567.22,106.33,61.09,77.38,1491,42.09,94,2,92,42.09,18.48,4.45,19.17,0,0,258.19999998807907,375,14477,2.1,95
44,2026-04-01T10:09:41.771Z,843.09,102,18.45,567.21,106.33,61.1,77.38,1492,40.82,94,2,92,40.82,18.43,3.22,19.16,0,0,254.40000000596046,377.40000000596046,14475,2.1,95.2
45,2026-04-01T10:10:08.635Z,843.09,102,18.42,567.21,106.33,61.15,77.38,1327,40.24,94,2,92,40.24,18.54,2.54,19.17,0,0,212.90000000596046,320,14479,2.1,95.2
46,2026-04-01T10:10:35.991Z,843.18,102,18.44,567.28,106.32,61.15,77.38,1609,39.47,94,2,92,39.47,18.46,1.85,19.16,0,0,538.2000000178814,619.7000000178814,14476,2.1,95.3
47,2026-04-01T10:11:02.946Z,843.26,102,18.46,567.29,106.32,61.19,77.38,1469,39.53,94,2,92,39.53,18.52,1.85,19.16,0,0,376.60000002384186,461.09999999403954,14477,2.1,95.3
48,2026-04-01T10:11:29.646Z,843.11,102,18.47,567.18,106.32,61.15,77.38,1323,39.55,94,2,92,39.55,18.54,1.85,19.16,0,0,230.39999997615814,315.09999999403954,14476,2.1,95.3
49,2026-04-01T10:11:56.590Z,843.22,102,18.47,567.28,106.32,61.15,77.38,1394,39.54,94,2,92,39.54,18.53,1.85,19.16,0,0,302.59999999403954,385.7999999821186,14476,2.1,95.3
50,2026-04-01T10:12:23.713Z,843.16,102,18.47,567.24,106.32,61.14,77.38,1449,39.46,94,2,92,39.46,18.45,1.85,19.16,0,0,189.90000000596046,312.80000001192093,14474,2.1,95.3
