runIndex,timestamp,coldPayloadKB,coldRequests,cold_htmlDocumentKB,cold_jsPayloadKB,cold_apiPayloadKB,cold_cssPayloadKB,cold_staticAssetKB,warmNavigationMs,warmPayloadKB,warmRequests,warmCachedRequests,warmNetworkRequests,warmNetworkPayloadKB,warm_htmlDocumentKB,warm_jsPayloadKB,warm_apiPayloadKB,warm_cssPayloadKB,warm_staticAssetKB,warmTtfbMs,warmDomContentLoadedMs,warmTransferSizeBytes,cacheHitRate,payloadReductionPct
30,2026-04-01T06:40:51.279Z,1187.27,134,15.02,755.4,236.5,25.89,154.47,2362,122.7,130,6,124,122.7,0.47,1.38,16.71,0,104.14,0,66.59999999403954,0,4.6,89.7
31,2026-04-01T06:41:02.765Z,1322.52,133,14.97,755.4,237.06,25.89,289.2,2141,66.57,121,6,115,66.57,0.4,2.07,16.81,0,47.3,0.09999999403953552,58.099999994039536,0,5,95
32,2026-04-01T06:41:14.109Z,1143.74,128,14.97,755.38,236.62,25.91,110.86,3212,258.79,127,6,121,258.79,0.4,1.38,16.4,0,240.61,0.09999999403953552,66.89999997615814,0,4.7,77.4
33,2026-04-01T06:41:25.664Z,1108.2,127,14.98,755.36,236.5,25.88,75.48,2922,112.4,124,6,118,112.4,0.4,1.38,16.41,0,94.22,0,63,0,4.8,89.9
34,2026-04-01T06:41:38.154Z,1233.02,131,15.09,755.28,236.41,25.88,200.36,3382,89.66,130,6,124,89.66,0.4,0,16.91,0,72.35,0.10000002384185791,67.7000000178814,0,4.6,92.7
35,2026-04-01T06:41:51.772Z,1088.28,123,15.05,755.43,230.72,25.89,61.18,4760,236,136,6,130,236,0.4,0.68,16.8,0,218.12,0.09999999403953552,67.2000000178814,0,4.4,78.3
36,2026-04-01T06:42:03.316Z,1238.42,130,14.99,755.4,236.78,25.89,205.37,2444,177.74,125,6,119,177.74,0.4,2.06,16.34,0,158.94,0,93.90000000596046,0,4.8,85.6
37,2026-04-01T06:42:13.988Z,1111.29,128,14.96,755.28,237.06,25.89,78.1,2162,25.11,121,6,115,25.11,0.4,0.68,16.84,0,7.19,0,49.69999998807907,0,5,97.7
38,2026-04-01T06:42:23.562Z,1105.85,128,15,755.25,236.47,25.89,73.24,1589,103.55,126,6,120,103.55,0.47,0.68,16.89,0,85.51,0,88.5,0,4.8,90.6
39,2026-04-01T06:42:34.951Z,1236.36,134,15.04,755.3,236.83,25.9,203.29,3031,181.07,129,6,123,181.07,0.4,0.68,17.04,0,162.96,0.09999999403953552,69.59999999403954,0,4.7,85.4
40,2026-04-01T06:42:48.717Z,1207.65,129,15.03,755.33,237.08,25.88,174.34,4368,11.57,120,6,114,11.57,0.4,0,11.17,0,0,0.10000002384185791,65.59999999403954,0,5,99
41,2026-04-01T06:43:02.178Z,1188.04,133,15.05,755.37,236.93,25.9,154.79,3921,11.32,119,6,113,11.32,0.4,0,10.92,0,0,0,64.80000001192093,0,5,99
42,2026-04-01T06:43:13.901Z,1209.25,132,14.99,755.48,236.94,25.88,175.96,2419,77.34,125,6,119,77.34,0.4,2.06,16.86,0,58.01,0.10000002384185791,124.5,0,4.8,93.6
43,2026-04-01T06:43:24.721Z,1159.93,128,14.95,755.44,236.39,25.91,127.24,2436,124.05,124,6,118,124.05,0.4,2.06,16.61,0,104.99,0,104.90000000596046,0,4.8,89.3
44,2026-04-01T06:43:35.767Z,1139,129,14.96,755.42,236.63,25.9,106.09,2973,106.18,127,6,121,106.18,0.47,0.69,16.78,0,88.24,0,96.5,0,4.7,90.7
45,2026-04-01T06:43:45.303Z,1164.11,129,14.99,755.4,236.88,25.91,130.92,1507,51.78,122,6,116,51.78,0.4,3.42,16.7,0,31.26,0.09999999403953552,119.7999999821186,0,4.9,95.6
46,2026-04-01T06:43:57.609Z,1283.51,138,14.96,754.31,236.53,25.91,251.81,3521,75.42,126,6,120,75.42,0.4,2.05,17.03,0,55.95,0,352,0,4.8,94.1
47,2026-04-01T06:44:07.668Z,1131.33,129,15,755.31,236.89,25.88,98.25,1409,48.18,122,6,116,48.18,0.4,0.68,16.76,0,30.34,0.09999999403953552,106.90000000596046,0,4.9,95.7
48,2026-04-01T06:44:17.678Z,1172.69,130,14.97,755.28,236.7,25.89,139.85,2148,98.23,125,6,119,98.23,0.4,0,16.95,0,80.89,0.09999999403953552,63.900000005960464,0,4.8,91.6
49,2026-04-01T06:44:28.181Z,1323.16,132,14.99,755.31,236.87,25.89,290.11,2378,110.83,126,6,120,110.83,0.4,0,16.5,0,93.94,0,66.30000001192093,0,4.8,91.6
50,2026-04-01T06:44:38.345Z,1338.12,137,14.95,755.36,236.52,25.91,305.38,2157,345.92,125,6,119,345.92,0.47,0,16.88,0,328.57,0,65.90000000596046,0,4.8,74.1
