runIndex,resourceType,requestCount,sizeBytes,sizeKB,cachedCount
22,Script,77,590022,576.19,0
22,Stylesheet,6,74158,72.42,0
22,Font,2,45529,44.46,0
22,Other,6,42490,41.49,0
22,Fetch,8,108500,105.96,0
22,Ping,3,12914,12.61,0
22,XHR,1,424,0.41,0
22,Preflight,2,0,0,0
23,Document,2,17787,17.37,0
23,Script,77,589998,576.17,0
23,Stylesheet,6,74102,72.37,0
23,Font,2,45529,44.46,0
23,Other,6,42483,41.49,0
23,Fetch,8,108504,105.96,0
23,Ping,3,12905,12.6,0
23,XHR,1,424,0.41,0
23,Preflight,2,0,0,0
24,Document,2,17783,17.37,0
24,Script,77,590018,576.19,0
24,Stylesheet,6,74200,72.46,0
24,Font,2,45530,44.46,0
24,Other,6,42490,41.49,0
24,Fetch,9,108762,106.21,0
24,Ping,4,17228,16.82,0
24,XHR,1,424,0.41,0
24,Preflight,3,0,0,0
25,Document,2,17774,17.36,0
25,Script,77,590037,576.21,0
25,Stylesheet,6,74105,72.37,0
25,Font,2,45529,44.46,0
25,Other,6,42494,41.5,0
25,Fetch,8,108506,105.96,0
25,Ping,3,12923,12.62,0
25,XHR,1,424,0.41,0
25,Preflight,2,0,0,0
26,Document,2,17865,17.45,0
26,Script,77,590022,576.19,0
26,Stylesheet,6,74209,72.47,0
26,Font,2,45529,44.46,0
26,Other,6,42490,41.49,0
26,Fetch,8,108498,105.96,0
26,Ping,3,12917,12.61,0
26,XHR,1,424,0.41,0
26,Preflight,2,0,0,0
27,Document,2,17782,17.37,0
27,Script,77,589999,576.17,0
27,Stylesheet,6,74048,72.31,0
27,Font,2,45529,44.46,0
27,Other,6,42483,41.49,0
27,Fetch,9,108767,106.22,0
27,Ping,4,17221,16.82,0
27,XHR,1,424,0.41,0
27,Preflight,3,0,0,0
28,Document,2,17816,17.4,0
28,Script,77,590005,576.18,0
28,Stylesheet,6,74104,72.37,0
28,Font,2,45529,44.46,0
28,Other,6,42489,41.49,0
28,Fetch,8,108502,105.96,0
28,Ping,3,12913,12.61,0
28,XHR,1,424,0.41,0
28,Preflight,2,0,0,0
29,Document,2,17852,17.43,0
29,Script,77,589996,576.17,0
29,Stylesheet,6,74108,72.37,0
29,Font,2,45529,44.46,0
29,Other,6,42498,41.5,0
29,Fetch,8,108514,105.97,0
29,Ping,3,12921,12.62,0
29,XHR,1,424,0.41,0
29,Preflight,2,0,0,0
30,Document,2,17808,17.39,0
30,Script,77,590011,576.18,0
30,Stylesheet,6,74056,72.32,0
30,Font,2,45530,44.46,0
30,Other,6,42495,41.5,0
30,Fetch,8,108500,105.96,0
30,Ping,3,12910,12.61,0
30,XHR,1,424,0.41,0
30,Preflight,2,0,0,0
31,Document,2,17838,17.42,0
31,Script,77,589984,576.16,0
31,Stylesheet,6,74052,72.32,0
31,Font,2,45529,44.46,0
31,Other,6,42484,41.49,0
31,Fetch,8,108502,105.96,0
31,Ping,3,12910,12.61,0
31,XHR,1,424,0.41,0
31,Preflight,2,0,0,0
32,Document,2,17811,17.39,0
32,Script,77,590015,576.19,0
32,Stylesheet,6,74208,72.47,0
32,Font,2,45529,44.46,0
32,Other,6,42497,41.5,0
32,Fetch,8,108447,105.91,0
32,Ping,3,12919,12.62,0
32,XHR,1,424,0.41,0
32,Preflight,2,0,0,0
33,Document,2,17806,17.39,0
33,Script,77,590031,576.2,0
33,Stylesheet,6,74104,72.37,0
33,Font,2,45529,44.46,0
33,Other,6,42492,41.5,0
33,Fetch,9,108711,106.16,0
33,Ping,4,17213,16.81,0
33,XHR,1,424,0.41,0
33,Preflight,3,0,0,0
34,Document,2,17860,17.44,0
34,Script,77,590033,576.2,0
34,Stylesheet,6,74055,72.32,0
34,Font,2,45529,44.46,0
34,Other,6,42496,41.5,0
34,Fetch,8,108455,105.91,0
34,Ping,3,12915,12.61,0
34,XHR,1,424,0.41,0
34,Preflight,2,0,0,0
35,Document,2,17866,17.45,0
35,Script,77,590015,576.19,0
35,Stylesheet,6,74103,72.37,0
35,Font,2,45529,44.46,0
35,Other,6,42492,41.5,0
35,Fetch,8,108447,105.91,0
35,Ping,3,12913,12.61,0
35,XHR,1,425,0.42,0
35,Preflight,2,0,0,0
36,Document,2,17774,17.36,0
36,Script,77,589994,576.17,0
36,Stylesheet,6,74161,72.42,0
36,Font,2,45529,44.46,0
36,Other,6,42488,41.49,0
36,Fetch,8,108444,105.9,0
36,Ping,3,12922,12.62,0
36,XHR,1,424,0.41,0
36,Preflight,2,0,0,0
37,Document,2,17856,17.44,0
37,Script,77,589999,576.17,0
37,Stylesheet,6,74156,72.42,0
37,Font,2,45529,44.46,0
37,Other,6,42483,41.49,0
37,Fetch,8,108449,105.91,0
37,Ping,3,12914,12.61,0
37,XHR,1,424,0.41,0
37,Preflight,2,0,0,0
38,Document,2,17792,17.38,0
38,Script,77,590054,576.22,0
38,Stylesheet,6,74057,72.32,0
38,Font,2,45529,44.46,0
38,Other,6,42495,41.5,0
38,Fetch,8,108443,105.9,0
38,Ping,3,12920,12.62,0
38,XHR,1,424,0.41,0
38,Preflight,2,0,0,0
